"Number";"Name";"Deployment State";"Incident State";"SectionGeneral::1";"SectionGeneral::1::ParentLocation";"SectionGeneral::1::RoomType";"SectionGeneral::1::Floor";"SectionGeneral::1::RoomLabel";"SectionGeneral::1::Note";"SectionGeneral::1::Attachment::1";"SectionGeneral::1::Attachment::2";"SectionGeneral::1::Attachment::3";"SectionGeneral::1::Attachment::4";"SectionGeneral::1::Attachment::5";"SectionContacts::1";"SectionContacts::1::ContactRole::1";"SectionContacts::1::ContactRole::1::Contact";"SectionContacts::1::ContactRole::2";"SectionContacts::1::ContactRole::2::Contact";"SectionContacts::1::ContactRole::3";"SectionContacts::1::ContactRole::3::Contact";"SectionContacts::1::ContactRole::4";"SectionContacts::1::ContactRole::4::Contact";"SectionContacts::1::ContactRole::5";"SectionContacts::1::ContactRole::5::Contact";"SectionContacts::1::ContactRole::6";"SectionContacts::1::ContactRole::6::Contact";"SectionContacts::1::ContactRole::7";"SectionContacts::1::ContactRole::7::Contact";"SectionContacts::1::ContactRole::8";"SectionContacts::1::ContactRole::8::Contact";"SectionContacts::1::ContactRole::9";"SectionContacts::1::ContactRole::9::Contact";"SectionContacts::1::ContactRole::10";"SectionContacts::1::ContactRole::10::Contact";"SectionServiceCatalog::1";"SectionServiceCatalog::1::AssignedSLA"
;"B.Two.103";"Production";"Operational";;"B.Two";"Office";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.104";"Production";"Operational";;"B.Two";"Office";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.105";"Production";"Operational";;"B.Two";"Office";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.106";"Production";"Operational";;"B.Two";"Office";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.107";"Production";"Operational";;"B.Two";"Storage";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.201";"Production";"Operational";;"B.Two";"Office";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.202";"Production";"Operational";;"B.Two";"Office";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.203";"Production";"Operational";;"B.Two";"Office";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.204";"Production";"Operational";;"B.Two";"Office";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.205";"Production";"Operational";;"B.Two";"Office";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.206";"Production";"Operational";;"B.Two";"Office";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.207";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.208";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.209";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.210";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.211";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.212";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.213";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.214";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.215";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.216";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.217";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.218";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.219";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.220";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.221";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.222";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.223";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.224";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.225";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.226";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.227";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.228";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.229";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.230";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.301";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.302";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.303";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.304";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.305";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.306";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.307";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.308";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.309";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.310";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.311";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.312";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.313";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.314";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.315";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.316";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.317";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.318";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.319";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.320";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.321";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
