"Number";"Name";"Comment";"Street";"City";"Zip";"Country";"Url";"ValidID";"DynamicField_Type";
"MAMU";"Mustermann GmbH";"A Company Manufacturing Everything";"Musterstr. 123";"Musterstadt";"12345";"Germany";"http://www.mustermann.org";"supplier/partner (internal)";
"GC10004";"Generic Company 10004";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10005";"Generic Company 10005";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10006";"Generic Company 10006";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10007";"Generic Company 10007";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10008";"Generic Company 10008";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10009";"Generic Company 10009";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10010";"Generic Company 10010";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10011";"Generic Company 10011";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10012";"Generic Company 10012";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10013";"Generic Company 10013";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10014";"Generic Company 10014";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10015";"Generic Company 10015";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10016";"Generic Company 10016";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10017";"Generic Company 10017";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10018";"Generic Company 10018";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10019";"Generic Company 10019";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10020";"Generic Company 10020";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10021";"Generic Company 10021";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10022";"Generic Company 10022";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10023";"Generic Company 10023";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10024";"Generic Company 10024";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10025";"Generic Company 10025";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10026";"Generic Company 10026";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10027";"Generic Company 10027";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10028";"Generic Company 10028";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10029";"Generic Company 10029";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10030";"Generic Company 10030";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10031";"Generic Company 10031";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10032";"Generic Company 10032";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10033";"Generic Company 10033";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10034";"Generic Company 10034";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10035";"Generic Company 10035";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10036";"Generic Company 10036";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10037";"Generic Company 10037";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10038";"Generic Company 10038";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10039";"Generic Company 10039";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10040";"Generic Company 10040";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10041";"Generic Company 10041";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10042";"Generic Company 10042";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10043";"Generic Company 10043";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10044";"Generic Company 10044";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10045";"Generic Company 10045";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10046";"Generic Company 10046";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10047";"Generic Company 10047";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10048";"Generic Company 10048";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10049";"Generic Company 10049";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10050";"Generic Company 10050";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10051";"Generic Company 10051";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10052";"Generic Company 10052";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10053";"Generic Company 10053";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10054";"Generic Company 10054";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10055";"Generic Company 10055";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10056";"Generic Company 10056";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10057";"Generic Company 10057";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10058";"Generic Company 10058";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10059";"Generic Company 10059";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10060";"Generic Company 10060";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10061";"Generic Company 10061";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10062";"Generic Company 10062";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10063";"Generic Company 10063";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10064";"Generic Company 10064";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10065";"Generic Company 10065";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10066";"Generic Company 10066";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10067";"Generic Company 10067";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10068";"Generic Company 10068";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10069";"Generic Company 10069";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10070";"Generic Company 10070";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10071";"Generic Company 10071";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10072";"Generic Company 10072";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10073";"Generic Company 10073";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10074";"Generic Company 10074";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10075";"Generic Company 10075";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10076";"Generic Company 10076";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10077";"Generic Company 10077";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10078";"Generic Company 10078";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10079";"Generic Company 10079";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10080";"Generic Company 10080";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10081";"Generic Company 10081";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10082";"Generic Company 10082";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10083";"Generic Company 10083";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10084";"Generic Company 10084";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10085";"Generic Company 10085";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10086";"Generic Company 10086";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10087";"Generic Company 10087";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10088";"Generic Company 10088";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10089";"Generic Company 10089";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10090";"Generic Company 10090";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10091";"Generic Company 10091";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10092";"Generic Company 10092";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10093";"Generic Company 10093";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10094";"Generic Company 10094";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10095";"Generic Company 10095";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10096";"Generic Company 10096";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10097";"Generic Company 10097";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10098";"Generic Company 10098";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10099";"Generic Company 10099";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10100";"Generic Company 10100";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10101";"Generic Company 10101";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10102";"Generic Company 10102";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10103";"Generic Company 10103";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10104";"Generic Company 10104";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10105";"Generic Company 10105";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10106";"Generic Company 10106";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10107";"Generic Company 10107";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10108";"Generic Company 10108";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
"GC10109";"Generic Company 10109";"No comment.";"223 Murray Rd";"Newark, DE";19711;"United States";"http://www.noplacetogo.to";"customer";
